id,property_type,room_type,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,accommodates,bathrooms,bedrooms,beds,guests_included,extra_people
183996,Condominium,Entire home/apt,Real Bed,$375.00 ,"$2,625.00 ","$11,250.00 ","$1,000.00 ",$100.00 ,2,730,t,6,2.5,4,6,6,50
185960,Bed and breakfast,Private room,Real Bed,$29.00 ,$203.00 ,$870.00 ,$0.00 ,$20.00 ,7,60,t,1,1.5,1,1,1,0
186851,Apartment,Entire home/apt,Real Bed,$32.00 ,$224.00 ,$960.00 ,$960.00 ,$0.00 ,62,200,t,2,1,1,2,2,0
186908,Bungalow,Entire home/apt,Real Bed,$45.00 ,$315.00 ,"$1,350.00 ",$100.00 ,$30.00 ,2,365,t,4,1,1,3,1,25
186999,House,Entire home/apt,Real Bed,$120.00 ,$840.00 ,"$3,600.00 ",$200.00 ,$50.00 ,3,365,t,10,1.5,2,5,2,25
187206,Apartment,Private room,Real Bed,$25.00 ,$175.00 ,$750.00 ,,,2,7,t,1,1,1,1,1,0
187326,Apartment,Entire home/apt,Real Bed,$59.00 ,$413.00 ,"$1,770.00 ",$300.00 ,$35.00 ,3,31,t,2,1,1,1,1,15
188565,Boat,Entire home/apt,Real Bed,$86.00 ,$602.00 ,"$2,580.00 ","$1,800.00 ",$50.00 ,1,730,t,5,1,1,5,1,20
188922,Apartment,Entire home/apt,Real Bed,$45.00 ,$315.00 ,"$1,350.00 ",$200.00 ,$40.00 ,28,240,t,3,1,1,2,1,5
189288,Townhouse,Entire home/apt,Real Bed,$100.00 ,$700.00 ,"$3,000.00 ",$150.00 ,$40.00 ,3,365,t,4,1,2,5,2,15
189596,Apartment,Entire home/apt,Futon,$80.00 ,$560.00 ,"$2,400.00 ",$100.00 ,,4,365,t,2,,1,1,2,100
190448,Guest suite,Entire home/apt,Real Bed,$50.00 ,$350.00 ,"$1,500.00 ",,,2,365,t,4,1,0,1,2,10
191023,Apartment,Private room,Real Bed,$49.00 ,$343.00 ,"$1,470.00 ",$250.00 ,$10.00 ,1,20,t,2,1,1,1,1,25
192050,Apartment,Entire home/apt,Real Bed,$55.00 ,$385.00 ,"$1,650.00 ",$800.00 ,$75.00 ,120,360,t,5,1,2,5,3,5
192052,Apartment,Entire home/apt,Real Bed,$79.00 ,$553.00 ,"$2,370.00 ",$0.00 ,$35.00 ,2,365,t,4,1,0,1,2,5
192103,Apartment,Entire home/apt,Real Bed,$75.00 ,$525.00 ,"$2,250.00 ",$0.00 ,$35.00 ,2,730,t,4,1,1,2,2,5
192499,Boutique hotel,Private room,Real Bed,$49.00 ,$343.00 ,"$1,470.00 ",,,2,10,t,2,1,1,1,1,10
193625,Apartment,Private room,Real Bed,$38.00 ,$266.00 ,"$1,140.00 ",,,3,25,t,2,1,1,1,1,18
194374,House,Entire home/apt,Real Bed,$65.00 ,$455.00 ,"$1,950.00 ",$0.00 ,$40.00 ,3,365,t,5,1,2,5,1,25
194465,Loft,Private room,Real Bed,$75.00 ,$525.00 ,"$2,250.00 ",$250.00 ,$35.00 ,3,30,t,2,1.5,1,1,1,15
194546,Apartment,Entire home/apt,Real Bed,$75.00 ,$525.00 ,"$2,250.00 ",,$35.00 ,4,365,t,4,1,1,4,2,19
194694,Apartment,Private room,Real Bed,$38.00 ,$266.00 ,"$1,140.00 ",$100.00 ,$17.00 ,3,14,t,2,1,1,1,1,0
195467,House,Private room,Real Bed,$89.00 ,$623.00 ,"$2,670.00 ",$200.00 ,$30.00 ,2,30,t,4,1,2,4,2,7
196149,Apartment,Entire home/apt,Real Bed,$74.00 ,$518.00 ,"$2,220.00 ",$150.00 ,$35.00 ,2,21,t,4,1,2,3,2,25
196285,Apartment,Entire home/apt,Real Bed,$50.00 ,$350.00 ,"$1,500.00 ",,$25.00 ,3,30,t,2,1,0,1,1,10
197291,Apartment,Entire home/apt,Real Bed,$120.00 ,$840.00 ,"$3,600.00 ",$100.00 ,,1,365,t,2,1,1,1,2,15
198584,Apartment,Private room,Real Bed,$38.00 ,$266.00 ,"$1,140.00 ",$200.00 ,$30.00 ,7,365,t,1,2,1,1,1,25
198896,Apartment,Private room,Real Bed,$25.00 ,$175.00 ,$750.00 ,,,1,730,t,2,1.5,1,1,1,10
200125,Condominium,Entire home/apt,Real Bed,$89.00 ,$623.00 ,"$2,670.00 ",$0.00 ,$40.00 ,4,60,t,4,1,2,6,2,29
201224,Apartment,Entire home/apt,Real Bed,$88.00 ,$616.00 ,"$2,640.00 ",,$49.00 ,3,120,t,2,1,1,1,2,30
203634,Condominium,Entire home/apt,Real Bed,$125.00 ,$875.00 ,"$3,750.00 ",$750.00 ,$70.00 ,4,180,t,4,2,2,2,2,25
204609,Apartment,Private room,Real Bed,$49.00 ,$343.00 ,"$1,470.00 ",$100.00 ,$20.00 ,2,11,t,2,1,1,1,2,15
204617,Apartment,Entire home/apt,Real Bed,$50.00 ,$350.00 ,"$1,500.00 ",,$10.00 ,1,1125,t,2,1,1,1,3,0
205296,Apartment,Entire home/apt,Real Bed,$100.00 ,$700.00 ,"$3,000.00 ",,$60.00 ,5,730,t,4,1,2,4,2,20
206021,Apartment,Private room,Real Bed,$35.00 ,$245.00 ,"$1,050.00 ",$385.00 ,$50.00 ,3,21,t,1,1,1,1,1,35
206454,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",$150.00 ,$30.00 ,3,60,t,2,1,1,1,1,10
207740,Apartment,Entire home/apt,Real Bed,$195.00 ,"$1,365.00 ","$5,850.00 ",$500.00 ,$75.00 ,3,14,t,5,2,3,3,1,0
208495,Apartment,Entire home/apt,Real Bed,$150.00 ,"$1,050.00 ","$4,500.00 ",$300.00 ,$30.00 ,2,500,t,2,1,1,1,1,20
209649,Apartment,Private room,Real Bed,$200.00 ,"$1,400.00 ","$6,000.00 ",$0.00 ,$45.00 ,7,120,t,2,1,1,1,1,15
210734,Apartment,Entire home/apt,Real Bed,$165.00 ,"$1,155.00 ","$4,950.00 ",$0.00 ,$38.00 ,3,21,t,5,1,1,3,4,10
212348,Apartment,Private room,Pull-out Sofa,$55.00 ,$385.00 ,"$1,650.00 ",,$30.00 ,2,21,t,2,1,1,1,1,0
214491,Apartment,Private room,Real Bed,$35.00 ,$245.00 ,"$1,050.00 ",$0.00 ,$30.00 ,1,6,t,1,1,1,1,1,30
214518,Apartment,Private room,Real Bed,$51.00 ,$357.00 ,"$1,530.00 ",$500.00 ,$5.00 ,1,27,t,1,0,1,1,1,20
