country,city,neighbourhood_group_cleansed,neighbourhood_cleansed,id
Germany,Berlin,Reinickendorf,West 4,8315377
Germany,Berlin,Steglitz - Zehlendorf,Zehlendorf  Nord,8318934
Germany,Berlin,Neukölln,Rixdorf,8319375
Germany,Berlin,Neukölln,Rixdorf,8320868
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8321322
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8321737
Germany,Berlin,Mitte,Brunnenstr. Süd,8323048
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8324857
Germany,Berlin,Charlottenburg-Wilm.,Barstraße,8331619
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8337558
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8337806
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8338805
Germany,Berlin,Mitte,Alexanderplatz,8342247
Germany,Berlin,Neukölln,Schillerpromenade,8346610
Germany,Berlin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,8347488
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8349305
Germany,Berlin,Pankow,Prenzlauer Berg Nord,8350811
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8350930
Germany,Berlin,Pankow,Pankow Zentrum,8353087
Germany,Berlin,Pankow,Helmholtzplatz,8353163
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,8357787
Germany,Berlin,Charlottenburg-Wilm.,Düsseldorfer Straße,8360878
Germany,Berlin,Treptow - Köpenick,Baumschulenweg,8361447
Germany,Berlin,Mitte,Tiergarten Süd,8363117
Germany,Berlin,Mitte,Moabit Ost,8366085
Germany,Berlin,Pankow,Weißensee Ost,8367375
Germany,Berlin,Charlottenburg-Wilm.,Neue Kantstraße,8367407
Germany,Berlin,Mitte,Wedding Zentrum,8367921
Germany,Berlin,Mitte,Osloer Straße,8368762
Germany,Berlin,Mitte,Moabit West,8371409
Germany,Berlin,Treptow - Köpenick,Alt  Treptow,8374101
Germany,Berlin,Steglitz - Zehlendorf,Ostpreußendamm,8374384
Germany,Berlin,Mitte,Tiergarten Süd,8374400
Germany,Berlin,Treptow - Köpenick,Baumschulenweg,8374433
Germany,Berlin,Mitte,Moabit Ost,8375220
Germany,Berlin,Pankow,Helmholtzplatz,8375383
Germany,Berlin,Mitte,Brunnenstr. Süd,8376369
Germany,Berlin,Mitte,Moabit West,8377077
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8377374
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8378882
Germany,Berlin,Mitte,Brunnenstr. Nord,8379293
Germany,Berlin,Mitte,Brunnenstr. Süd,8379383
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8379438
Germany,Berlin,Lichtenberg,Alt-Lichtenberg,8380989
Germany,Berlin,Charlottenburg-Wilm.,Düsseldorfer Straße,8381806
Germany,Berlin,Mitte,Regierungsviertel,8382858
Germany,Berlin,Pankow,Helmholtzplatz,8385590
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8386451
